model,N,max_min_ratio
openai/gpt-oss-20b,2,1.43272129350507
openai/gpt-oss-20b,3,1.43272129350507
openai/gpt-oss-20b,4,1.6609247151861566
openai/gpt-oss-20b,5,1.6609247151861566
openai/gpt-oss-20b,6,1.6609247151861566
openai/gpt-oss-20b,7,1.6609247151861566
openai/gpt-oss-20b,8,1.6609247151861566
openai/gpt-oss-20b,9,1.6609247151861566
openai/gpt-oss-20b,10,1.6609247151861566
openai/gpt-oss-20b,11,1.6609247151861566
openai/gpt-oss-20b,12,1.6609247151861566
openai/gpt-oss-20b,13,1.6609247151861566
openai/gpt-oss-20b,14,1.6609247151861566
openai/gpt-oss-20b,15,1.6609247151861566
openai/gpt-oss-20b,16,1.6609247151861566
openai/gpt-oss-20b,17,1.6609247151861566
openai/gpt-oss-20b,18,1.759855929217398
openai/gpt-oss-20b,19,1.759855929217398
openai/gpt-oss-20b,20,1.759855929217398
openai/gpt-oss-20b,21,2.24582077281447
openai/gpt-oss-20b,22,2.24582077281447
openai/gpt-oss-20b,23,2.24582077281447
openai/gpt-oss-20b,24,2.24582077281447
openai/gpt-oss-20b,25,2.24582077281447
openai/gpt-oss-20b,26,2.24582077281447
openai/gpt-oss-20b,27,2.24582077281447
openai/gpt-oss-20b,28,2.24582077281447
openai/gpt-oss-20b,29,2.24582077281447
openai/gpt-oss-20b,30,2.24582077281447
openai/gpt-oss-20b,31,2.24582077281447
openai/gpt-oss-20b,32,2.24582077281447
openai/gpt-oss-20b,33,2.24582077281447
openai/gpt-oss-20b,34,2.24582077281447
openai/gpt-oss-20b,35,2.24582077281447
openai/gpt-oss-20b,36,2.24582077281447
openai/gpt-oss-20b,37,2.24582077281447
openai/gpt-oss-20b,38,2.24582077281447
openai/gpt-oss-20b,39,2.24582077281447
openai/gpt-oss-20b,40,2.24582077281447
openai/gpt-oss-20b,41,2.24582077281447
openai/gpt-oss-20b,42,2.24582077281447
openai/gpt-oss-20b,43,2.24582077281447
openai/gpt-oss-20b,44,2.24582077281447
openai/gpt-oss-20b,45,2.24582077281447
openai/gpt-oss-20b,46,2.24582077281447
openai/gpt-oss-20b,47,2.24582077281447
openai/gpt-oss-20b,48,2.24582077281447
openai/gpt-oss-20b,49,2.24582077281447
openai/gpt-oss-20b,50,2.24582077281447
openai/gpt-oss-20b,51,2.24582077281447
openai/gpt-oss-20b,52,2.24582077281447
openai/gpt-oss-20b,53,2.24582077281447
openai/gpt-oss-20b,54,2.24582077281447
openai/gpt-oss-20b,55,2.24582077281447
openai/gpt-oss-20b,56,2.24582077281447
openai/gpt-oss-20b,57,2.24582077281447
openai/gpt-oss-20b,58,2.24582077281447
openai/gpt-oss-20b,59,2.24582077281447
openai/gpt-oss-20b,60,2.24582077281447
openai/gpt-oss-20b,61,2.24582077281447
openai/gpt-oss-20b,62,2.24582077281447
openai/gpt-oss-20b,63,3.1761735113338294
openai/gpt-oss-20b,64,3.1761735113338294
openai/gpt-oss-20b,65,3.1761735113338294
